N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
184.0,이수화학,46300.0,1750.0,+3.93%,5000.0,12945.0,27960.0,4.22,4305672.0,46.67,9.41,
185.0,금호타이어,4460.0,120.0,+2.76%,5000.0,12812.0,287260.0,4.4,415801.0,-16.22,-6.87,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
186.0,DL이앤씨,33000.0,950.0,-2.80%,5000.0,12769.0,38694.0,23.0,187475.0,3.43,9.7,
187.0,SK케미칼,73400.0,1800.0,-2.39%,5000.0,12664.0,17254.0,14.66,63853.0,7.54,9.11,
188.0,풍산,44800.0,0.0,0.00%,5000.0,12555.0,28024.0,14.92,634362.0,7.17,9.94,
189.0,KODEX 삼성그룹,9300.0,30.0,-0.32%,0.0,12499.0,134400.0,0.14,241968.0,,,
190.0,TIGER 2차전지테마,30490.0,720.0,-2.31%,0.0,12455.0,40850.0,0.0,2453585.0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
191.0,대웅제약,107400.0,500.0,-0.46%,2500.0,12444.0,11587.0,7.77,25692.0,29.46,7.17,
192.0,KODEX 단기채권PLUS,106425.0,10.0,+0.01%,0.0,12361.0,11615.0,0.0,187882.0,,,
193.0,코오롱인더,44750.0,100.0,-0.22%,5000.0,12315.0,27519.0,18.75,101485.0,7.54,7.13,
194.0,KBSTAR 종합채권(A-이상)액티브,98185.0,60.0,+0.06%,0.0,12204.0,12430.0,0.0,346.0,,,
195.0,KBSTAR 200,33565.0,250.0,-0.74%,0.0,12184.0,36300.0,0.02,425227.0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
196.0,현대백화점,51700.0,700.0,-1.34%,5000.0,12099.0,23402.0,22.48,72035.0,8.4,3.2,
197.0,LX인터내셔널,30800.0,550.0,-1.75%,5000.0,11938.0,38760.0,28.36,379110.0,2.32,25.53,
198.0,동국제강,12490.0,290.0,-2.27%,5000.0,11920.0,95433.0,25.51,300814.0,2.89,14.21,
199.0,한국앤컴퍼니,12480.0,20.0,+0.16%,500.0,11848.0,94935.0,9.04,99045.0,7.14,4.37,
200.0,KG스틸,11730.0,520.0,-4.24%,5000.0,11731.0,100009.0,2.09,2927406.0,2.19,37.73,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
201.0,DGB금융지주,6900.0,90.0,-1.29%,5000.0,11671.0,169146.0,44.23,412594.0,2.91,7.38,
202.0,아이에스동서,37700.0,700.0,-1.82%,500.0,11647.0,30893.0,3.73,143552.0,5.95,14.84,
203.0,삼아알미늄,78700.0,4500.0,-5.41%,500.0,11578.0,14712.0,36.8,289045.0,50.32,13.24,
204.0,일진하이솔루스,31350.0,800.0,+2.62%,500.0,11384.0,36313.0,1.97,126917.0,161.6,2.27,
205.0,HD현대건설기계,56900.0,100.0,-0.18%,5000.0,11210.0,19701.0,24.93,80510.0,10.05,7.99,
,,,,,,,,,,,,
